# This file was automatically generated:
#	Running: extract-unihan.exe -keyword kCangjie unihan.txt
#	When:              Sun Aug 26 02:35:38 2007
#	Program's author:  Hoc D. Ngo (trichlor@trichlor.org, hoc96@yahoo.com)
#
# Info on original database file:
#
#	@.Master database name: Unihan database
#	@.Unicode version: 5.0.0
#	@.Table version: 1.1
#	@.Date: 7 July 2006
#	@.Info:  http://www.unicode.org/charts/unihan.html
#	@.Download:  ftp://ftp.unicode.org/Public/UNIDATA/unihan.zip
#
# The first column is Unicode codepoint in hexadecimal digits (i.e., U+xxxx)
###############################################################################
U+3400	TM
U+34EE	BRLN
U+34EF	VWLN
U+34F0	MULN
U+34F1	ONLN
U+34F2	IBLN
U+34F3	AOLN
U+34F4	MKLN
U+34F5	RSLN
U+34F6	QKLN
U+34F7	HDLN
U+34F8	RMLN
U+34F9	MFLN
U+34FA	YKLN
U+34FB	WMLN
U+34FC	DELN
U+34FD	UFLN
U+34FE	SQLN
U+34FF	HELN
U+3500	AFLN
U+3501	NTLN
U+3502	FQLN
U+3503	VUSH
U+3504	MDLN
U+3505	LXLN
U+3506	MALN
U+3507	NELN
U+3508	TYLN
U+3509	SBLN
U+350A	YMLN
U+350B	STLN
U+350C	SOLN
U+350D	HTLN
U+350E	UJSH
U+350F	MRLN
U+3510	HMLN
U+3511	TJSH
U+3512	UBLN
U+3513	HJKS
U+3514	KRR
U+3515	ONKS
U+3516	KRS
U+3517	LNKS
U+3518	UUKS
U+3519	TTKS
U+351A	HRKS
U+351B	GRKS
U+351C	BDKS
U+351D	MBKS
U+351E	HPKS
U+351F	HIKS
U+3520	AVKS
U+3521	HPKS
U+3522	VUKS
U+3523	WWKS
U+3524	JWKS
U+3525	WPKS
U+3526	TVKS
U+3527	YTKS
U+3528	PLPB
U+3529	PGIT
U+352A	PYWI
U+352B	KP
U+352C	PAJ
U+352D	PAMO
U+352E	TOIBP
U+352F	SHNR
U+3530	SNIY
U+3531	SHXO
U+3532	SOIN
U+3533	SOIN
U+3534	SWTC
U+3535	SRUC
U+3536	SYJC
U+3537	SMOB
U+3538	SHYU
U+3539	JKS
U+353A	JPJ
U+353B	MFJ
U+353C	QGJ
U+353D	YWR
U+353E	SU
U+353F	MVL
U+3540	LWSU
U+3541	KISL
U+3542	MOIN
U+3543	MMT
U+3544	MMVI
U+3545	MWL
U+3546	MJR
U+3547	MYT
U+3548	MYHV
U+3549	MOMR
U+354A	MIJB
U+354B	MC
U+354C	MAMI
U+354D	MOG
U+354E	MGIT
U+354F	MMTJ
U+3550	MHXF
U+3551	MGTI
U+3552	MTGI
U+3553	MWGG
U+3554	MSGP
U+3555	II
U+3556	IIID
U+3557	TOI
U+3558	IIIF
U+3559	IENUI
U+355A	EII
U+355B	EE
U+355C	LE
U+355D	JRE
U+355E	SBE
U+355F	YBE
U+3560	IGE
U+3561	YRE
U+3562	YCE
U+3563	CR
U+3564	RKN
U+3565	RO
U+3566	RK
U+3567	RS
U+3568	RHNI
U+3569	RQJ
U+356A	RLBU
U+356B	RYHS
U+356C	RCI
U+356D	RHK
U+356E	RCK
U+356F	OBR
U+3570	RHQU
U+3571	RIKU
U+3572	RD
U+3573	RUK
U+3574	RBHN
U+3575	RMG
U+3576	RMDM
U+3577	RHA
U+3578	RYT
U+3579	RIKK
U+357A	RRMVS
U+357B	YFR
U+357C	RPVK
U+357D	RVIO
U+357E	FRP
U+357F	HDR
U+3580	RLQ
U+3581	RKKI
U+3582	RLWP
U+3583	RHMR
U+3584	RILL
U+3585	RIHM
U+3586	RTW
U+3587	RMBL
U+3588	JPR
U+3589	ROYM
U+358A	RSMI
U+358B	OLLP
U+358C	ONRP
U+358D	YJRP
U+358E	RPOLL
U+358F	RAG
U+3590	RRSK
U+3591	RIT
U+3592	RCNH
U+3593	RHEJ
U+3594	RMKR
U+3595	RYTJ
U+3596	YTJR
U+3597	RUON
U+3598	RMMV
U+3599	KRRP
U+359A	OIRP
U+359B	JRRP
U+359C	YRRP
U+359D	JDRP
U+359E	RROB
U+359F	RBBE
U+35A0	RKMF
U+35A1	RYOK
U+35A2	RIYP
U+35A3	RYTR
U+35A4	RUNE
U+35A5	RWHD
U+35A6	RDW
U+35A7	RHPA
U+35A8	RVNE
U+35A9	RSJE
U+35AA	RIRM
U+35AB	RGCE
U+35AC	RHXE
U+35AD	RHKP
U+35AE	ROMB
U+35AF	BRRP
U+35B0	RPBMR
U+35B1	YOKR
U+35B2	VRRP
U+35B3	EVRP
U+35B4	RTPH
U+35B5	RBMC
U+35B6	RMWG
U+35B7	RAMO
U+35B8	RYPM
U+35B9	RCST
U+35BA	RQKA
U+35BB	RNHD
U+35BC	RTMD
U+35BD	RMBC
U+35BE	RRTU
U+35BF	RSJL
U+35C0	RUVI
U+35C1	RRRS
U+35C2	RFHU
U+35C3	RRPA
U+35C4	RWLS
U+35C5	RJRB
U+35C6	RTLJ
U+35C7	RRYE
U+35C8	RNBS
U+35C9	QHHER
U+35CA	RRRR
U+35CB	RNMK
U+35CC	RJMG
U+35CD	RHDA
U+35CE	RKRD
U+35CF	RMFM
U+35D0	RKIT
U+35D1	RHQJ
U+35D2	RYRV
U+35D3	RYHR
U+35D4	RYPK
U+35D5	RTTB
U+35D6	RBHX
U+35D7	RSHWJ
U+35D8	RIBI
U+35D9	RPUU
U+35DA	RMWD
U+35DB	RHHK
U+35DC	RYVW
U+35DD	RTGF
U+35DE	RMRE
U+35DF	EGRP
U+35E0	VRRP
U+35E1	TOSP
U+35E2	RHGS
U+35E3	RKPB
U+35E4	IFR
U+35E5	RYDL
U+35E6	RSJL
U+35E7	RJCG
U+35E8	SER
U+35E9	RSMA
U+35EA	RYPF
U+35EB	RBOF
U+35EC	FBRNN
U+35ED	RHDP
U+35EE	NRILO
U+35EF	JARP
U+35F0	RHOO
U+35F1	ROGD
U+35F2	RLGM
U+35F3	RHOR
U+35F4	RANB
U+35F5	RFFO
U+35F6	RNOE
U+35F7	RJTO
U+35F8	RHON
U+35F9	ROGP
U+35FA	RMKY
U+35FB	RYBB
U+35FC	RTCD
U+35FD	VLR
U+35FE	RTJP
U+35FF	RANR
U+3600	RHXD
U+3601	RWLJ
U+3602	RTVP
U+3603	RTKP
U+3604	RDWS
U+3605	RHON
U+3606	RGRG
U+3607	RFFD
U+3608	RPKO
U+3609	RHAL
U+360A	RMBR
U+360B	RSEC
U+360C	RYON
U+360D	RFGI
U+360E	RLSK
U+360F	YURP
U+3610	RSFK
U+3611	RGFE
U+3612	HGRP
U+3613	RANW
U+3614	RJTC
U+3615	RTST
U+3616	RYHC
U+3617	RBUG
U+3618	VFR
U+3619	RRRK
U+361A	RANK
U+361B	RORP
U+361C	OGR
U+361D	WE
U+361E	WKS
U+361F	WT
U+3620	WPH
U+3621	WWL
U+3622	WFMU
U+3623	WRB
U+3624	WELL
U+3625	WBUF
U+3626	GKS
U+3627	GNIN
U+3628	GOB
U+3629	GPP
U+362A	GHQU
U+362B	GTT
U+362C	GPI
U+362D	GVIS
U+362E	GSO
U+362F	GOKS
U+3630	GYJ
U+3631	GGB
U+3632	GSKN
U+3633	LPG
U+3634	ROG
U+3635	GKLB
U+3636	NQG
U+3637	GTK
U+3638	MNPG
U+3639	YPG
U+363A	GOI
U+363B	GWK
U+363C	GJKS
U+363D	JIG
U+363E	GJMD
U+363F	GAG
U+3640	GJCN
U+3641	GOWY
U+3642	GCRU
U+3643	GOMC
U+3644	GPPG
U+3645	GRD
U+3646	GJKI
U+3647	GMSO
U+3648	GYPU
U+3649	GTBC
U+364A	GSMV
U+364B	GTMC
U+364C	GLX
U+364D	GEEE
U+364E	GIHV
U+364F	GOAE
U+3650	GUMB
U+3651	HBG
U+3652	WNG
U+3653	GGGG
U+3654	GDMQ
U+3655	GWB
U+3656	GHLB
U+3657	GWMV
U+3658	GMWV
U+3659	EHG
U+365A	GTGQ
U+365B	GIBI
U+365C	YBG
U+365D	GKSB
U+365E	GHUD
U+365F	GIIB
U+3660	SEG
U+3661	GHOO
U+3662	GTLB
U+3663	GNSV
U+3664	GYPD
U+3665	GYCV
U+3666	OJG
U+3667	GMLW
U+3668	GVII
U+3669	GKCF
U+366A	GGBT
U+366B	GOGD
U+366C	DKG
U+366D	GMTO
U+366E	GHOR
U+366F	GIMMI
U+3670	NQG
U+3671	RUG
U+3672	GYVG
U+3673	GIHP
U+3674	GNCR
U+3675	GYRG
U+3676	YRFBG
U+3677	GAVF
U+3678	GOTO
U+3679	GTWN
U+367A	GSLC
U+367B	GIWG
U+367C	GWWW
U+367D	GKMA
U+367E	GHBD
U+367F	GTGS
U+3680	GYTI
U+3681	GUGGU
U+3682	GJBV
U+3683	GBUT
U+3684	GBWO
U+3685	HEMHM
U+3686	YAHE
U+3687	UCHE
U+3688	NIJ
U+3689	NSNIN
U+368A	NNYVO
U+368B	NNBQR
U+368C	NNWD
U+368D	NNLMC
U+368E	KU
U+368F	KT
U+3690	KK
U+3691	SMK
U+3692	KOO
U+3693	KD
U+3694	KTJ
U+3695	KLLN
U+3696	HAK
U+3697	KBM
U+3698	QOQO
U+3699	KRK
U+369A	KNIR
U+369B	KPA
U+369C	KIRM
U+369D	KOGG
U+369E	KDD
U+369F	NRPPK
U+36A0	KTGF
U+36A1	KRKMR
U+36A2	OV
U+36A3	VV
U+36A4	VIP
U+36A5	VMD
U+36A6	VML
U+36A7	VI
U+36A8	VNJ
U+36A9	VBMM
U+36AA	VHQU
U+36AB	VNHE
U+36AC	VPIM
U+36AD	VIKU
U+36AE	VBHN
U+36AF	VHNK
U+36B0	VMFM
U+36B1	VOM
U+36B2	VYR
U+36B3	VKSR
U+36B4	VKLB
U+36B5	VHEY
U+36B6	VRLR
U+36B7	VOF
U+36B8	VSMR
U+36B9	VHHL
U+36BA	VNSD
U+36BB	WV
U+36BC	VW
U+36BD	MSV
U+36BE	VRHU
U+36BF	VPRU
U+36C0	VNSM
U+36C1	VMFJ
U+36C2	VHAU
U+36C3	QHV
U+36C4	VYHV
U+36C5	VSJ
U+36C6	VNSD
U+36C7	VIG
U+36C8	VJKS
U+36C9	VMLW
U+36CA	VHND
U+36CB	VOP
U+36CC	VIHQ
U+36CD	VKOO
U+36CE	VRR
U+36CF	VIJE
U+36D0	VMLK
U+36D1	YEV
U+36D2	VMRT
U+36D3	VKKB
U+36D4	VHEJ
U+36D5	VRAU
U+36D6	VICE
U+36D7	VOOG
U+36D8	VJBD
U+36D9	VYTJ
U+36DA	VNIB
U+36DB	VHXH
U+36DC	OKV
U+36DD	VBUC
U+36DE	VMGT
U+36DF	VNBK
U+36E0	VLSA
U+36E1	VJMU
U+36E2	VHDS
U+36E3	VRBO
U+36E4	VMBB
U+36E5	VEA
U+36E6	VDD
U+36E7	VUMR
U+36E8	VTGU
U+36E9	VYIB
U+36EA	VKLU
U+36EB	VAPH
U+36EC	VGCG
U+36ED	VTA
U+36EE	VJFE
U+36EF	VNUS
U+36F0	VRPA
U+36F1	VWMV
U+36F2	VMBC
U+36F3	YBLBV
U+36F4	VVVW
U+36F5	VBGB
U+36F6	VUMF
U+36F7	HUV
U+36F8	VGRT
U+36F9	VOMK
U+36FA	VYTA
U+36FB	VKGG
U+36FC	VHJX
U+36FD	VJFD
U+36FE	VIHR
U+36FF	VTJB
U+3700	VDBU
U+3701	VDAM
U+3702	GIV
U+3703	VOYR
U+3704	VHNI
U+3705	VYIW
U+3706	VYFD
U+3707	VGGP
U+3708	NSV
U+3709	VVVU
U+370A	VSTV
U+370B	VTCT
U+370C	GVHNE
U+370D	VILR
U+370E	VBVK
U+370F	VRBC
U+3710	VUMT
U+3711	EBV
U+3712	VHXT
U+3713	VTOR
U+3714	VYTU
U+3715	VYJJ
U+3716	VTWA
U+3717	VIIH
U+3718	VYPM
U+3719	VIXP
U+371A	VJOA
U+371B	VJJO
U+371C	VGSK
U+371D	VOIW
U+371E	JLV
U+371F	VNJK
U+3720	VUOG
U+3721	VHOO
U+3722	VLWV
U+3723	VBKF
U+3724	VMWJ
U+3725	VWLC
U+3726	VSMI
U+3727	VMTO
U+3728	VSEQ
U+3729	VHBK
U+372A	YLV
U+372B	VHOK
U+372C	VNCR
U+372D	VFBW
U+372E	VSIT
U+372F	VSUF
U+3730	VVID
U+3731	VHLC
U+3732	VYRN
U+3733	VYWV
U+3734	VTWU
U+3735	VYSV
U+3736	VNRI
U+3737	NBV
U+3738	TJV
U+3739	VBUG
U+373A	VHUC
U+373B	VVFP
U+373C	VWWM
U+373D	VVND
U+373E	NDOLL
U+373F	NDNIN
U+3740	WYND
U+3741	PAND
U+3742	NDQHL
U+3743	NDNAU
U+3744	YDPU
U+3745	GDHNE
U+3746	NDGRR
U+3747	YDYRD
U+3748	VFNDD
U+3749	JM
U+374A	JE
U+374B	JNN
U+374C	JNO
U+374D	JYSM
U+374E	JINO
U+374F	JOLL
U+3750	JCI
U+3751	JYHS
U+3752	JJR
U+3753	JOMR
U+3754	JYCK
U+3755	JPE
U+3756	JNIN
U+3757	JIAV
U+3758	JYMR
U+3759	JMGC
U+375A	JNKM
U+375B	JOMW
U+375C	JTA
U+375D	JDD
U+375E	JMLM
U+375F	JMBU
U+3760	JAYC
U+3761	JSJE
U+3762	JHLB
U+3763	JQHK
U+3764	JTTB
U+3765	JVMD
U+3766	JOGS
U+3767	JVOOG
U+3768	JGRV
U+3769	JILE
U+376A	JGJI
U+376B	JNLM
U+376C	JRQO
U+376D	JPAM
U+376E	JUFE
U+376F	JHKB
U+3770	JHUS
U+3771	JVMN
U+3772	JVMB
U+3773	DI
U+3774	MUDI
U+3775	AMDI
U+3776	WLHUI
U+3777	SMMII
U+3778	FHAU
U+3779	FHNAU
U+377A	TCFH
U+377B	TMFH
U+377C	KUMD
U+377D	KUE
U+377E	KUKM
U+377F	KUDHE
U+3780	KUKF
U+3781	KUAP
U+3782	KUBV
U+3783	CRIKU
U+3784	KUKLU
U+3785	KUWD
U+3786	KUKMR
U+3787	KUWMV
U+3788	KUISB
U+3789	KUTQM
U+378A	UFKU
U+378B	SE
U+378C	SND
U+378D	SKNI
U+378E	SAU
U+378F	SHIO
U+3790	SYT
U+3791	SEU
U+3792	SHBU
U+3793	SPA
U+3794	SNIN
U+3795	SCB
U+3796	SDB
U+3797	SIJE
U+3798	SMSO
U+3799	SHUE
U+379A	SHJX
U+379B	SHOA
U+379C	SHOV
U+379D	IFS
U+379E	SHOO
U+379F	STWK
U+37A0	SKCF
U+37A1	SMMV
U+37A2	UM
U+37A3	UCSH
U+37A4	UO
U+37A5	UO
U+37A6	UHN
U+37A7	UNHS
U+37A8	UND
U+37A9	UHNI
U+37AA	NMMU
U+37AB	UINO
U+37AC	UM
U+37AD	KU
U+37AE	UNI
U+37AF	SUU
U+37B0	UOJ
U+37B1	UA
U+37B2	UL
U+37B3	UYJ
U+37B4	UHVP
U+37B5	UYK
U+37B6	UYK
U+37B7	UMG
U+37B8	UMF
U+37B9	UMNR
U+37BA	UOK
U+37BB	URMS
U+37BC	NEU
U+37BD	UIV
U+37BE	USP
U+37BF	UGK
U+37C0	HDU
U+37C1	UMMJ
U+37C2	UWYI
U+37C3	USMR
U+37C4	UTQ
U+37C5	UUKU
U+37C6	UOPJ
U+37C7	UOOG
U+37C8	UIJE
U+37C9	UJHQ
U+37CA	UBND
U+37CB	UCRU
U+37CC	UIUH
U+37CD	UIAV
U+37CE	UBV
U+37CF	UOIR
U+37D0	UTYV
U+37D1	UJBD
U+37D2	USKR
U+37D3	UKKB
U+37D4	UOIR
U+37D5	URYJ
U+37D6	UMGT
U+37D7	UCHH
U+37D8	UBQR
U+37D9	UTA
U+37DA	DEU
U+37DB	UQTM
U+37DC	UNNF
U+37DD	UYTR
U+37DE	UII
U+37DF	UTCU
U+37E0	UBTU
U+37E1	UFQU
U+37E2	UKMR
U+37E3	UDCI
U+37E4	UNME
U+37E5	UIKH
U+37E6	UBJJ
U+37E7	URRS
U+37E8	UUMB
U+37E9	RKU
U+37EA	UWMV
U+37EB	UHAE
U+37EC	UHXE
U+37ED	URPA
U+37EE	UJCK
U+37EF	UJHR
U+37F0	UBAC
U+37F1	UTGF
U+37F2	UMHF
U+37F3	UMWD
U+37F4	UHUI
U+37F5	UWLM
U+37F6	UMHF
U+37F7	UTOR
U+37F8	UHAJ
U+37F9	USJL
U+37FA	ULLV
U+37FB	JLU
U+37FC	UQSK
U+37FD	UMWF
U+37FE	UILB
U+37FF	UTIT
U+3800	HFU
U+3801	UIIH
U+3802	UQSK
U+3803	UYCB
U+3804	USMA
U+3805	UHOE
U+3806	URRJ
U+3807	UYFU
U+3808	UANG
U+3809	UYTG
U+380A	UYPM
U+380B	URRS
U+380C	UTCO
U+380D	UOGD
U+380E	UOGD
U+380F	UTMJ
U+3810	UHKB
U+3811	UWLY
U+3812	UMFN
U+3813	UTBO
U+3814	USRJ
U+3815	UNLI
U+3816	UTGI
U+3817	UHBK
U+3818	UHXC
U+3819	UYRO
U+381A	UTGI
U+381B	UTOE
U+381C	UPKO
U+381D	UQOC
U+381E	HKU
U+381F	UHHE
U+3820	UYPT
U+3821	UYSV
U+3822	UHIV
U+3823	UMHM
U+3824	UYRV
U+3825	UWWG
U+3826	UUJT
U+3827	UIDY
U+3828	UDDI
U+3829	OVHU
U+382A	MYM
U+382B	MNQO
U+382C	MRQO
U+382D	MMMM
U+382E	TAM
U+382F	SLR
U+3830	KRSU
U+3831	SUTMC
U+3832	LBP
U+3833	OLB
U+3834	LBSHI
U+3835	YVLB
U+3836	LBHN
U+3837	LBNHE
U+3838	LBQO
U+3839	LBOLL
U+383A	LBFH
U+383B	JKLB
U+383C	LBHML
U+383D	LBHEY
U+383E	NULB
U+383F	YPLB
U+3840	FBF
U+3841	LBKMS
U+3842	MNLB
U+3843	LBOVU
U+3844	LBPA
U+3845	LBNIN
U+3846	LBYVU
U+3847	LBSJU
U+3848	LBNAU
U+3849	LBNYI
U+384A	LBNHX
U+384B	LBKLU
U+384C	LBAB
U+384D	HAKLB
U+384E	LBIKH
U+384F	LBOMN
U+3850	LBTBN
U+3851	HFLB
U+3852	LBHJU
U+3853	LBBJJ
U+3854	NKLB
U+3855	LBTLK
U+3856	LBHJG
U+3857	LBHYU
U+3858	LBTXC
U+3859	LBHWP
U+385A	LBTTB
U+385B	LBTYU
U+385C	LBBOF
U+385D	LBYHJ
U+385E	LBLLV
U+385F	LBTWA
U+3860	LBNOT
U+3861	LBMMI
U+3862	LBAWS
U+3863	YBYSP
U+3864	LBTCD
U+3865	LBBMP
U+3866	LBJMC
U+3867	LBJCT
U+3868	LBOIM
U+3869	VFLB
U+386A	LBBSE
U+386B	VIAPV
U+386C	VIHS
U+386D	VVII
U+386E	VIOMN
U+386F	IHP
U+3870	IMD
U+3871	INO
U+3872	II
U+3873	IHVP
U+3874	IYT
U+3875	IOII
U+3876	IRC
U+3877	IDM
U+3878	IOS
U+3879	IBM
U+387A	IAM
U+387B	IHHL
U+387C	ILWP
U+387D	ILQ
U+387E	IAV
U+387F	ITU
U+3880	IDB
U+3881	ININ
U+3882	IHRR
U+3883	IIAV
U+3884	IMRT
U+3885	IMGT
U+3886	IWG
U+3887	IYMR
U+3888	IOG
U+3889	IHDP
U+388A	IKMR
U+388B	IONN
U+388C	INLR
U+388D	ITLK
U+388E	IHJX
U+388F	IOMN
U+3890	IBBR
U+3891	IOGJ
U+3892	IYPM
U+3893	IYTJ
U+3894	IHOO
U+3895	IVHG
U+3896	IHDW
U+3897	IHKB
U+3898	ITXF
U+3899	ITMS
U+389A	IYPS
U+389B	IOMO
U+389C	ITWP
U+389D	INFD
U+389E	ISMC
U+389F	NKYV
U+38A0	NKBR
U+38A1	VIT
U+38A2	FKT
U+38A3	TKT
U+38A4	JIPS
U+38A5	BRIP
U+38A6	MRIP
U+38A7	NM
U+38A8	NMJ
U+38A9	NPI
U+38AA	NMMS
U+38AB	NU
U+38AC	NKI
U+38AD	NYE
U+38AE	NOPD
U+38AF	NRVP
U+38B0	NDHE
U+38B1	NIF
U+38B2	NNMC
U+38B3	NOHV
U+38B4	NWNI
U+38B5	NOMR
U+38B6	NMA
U+38B7	NUNI
U+38B8	NNOK
U+38B9	NYTJ
U+38BA	NYTV
U+38BB	NHDV
U+38BC	NFBF
U+38BD	NSJN
U+38BE	NMWG
U+38BF	NONK
U+38C0	NJBC
U+38C1	NTHB
U+38C2	NMRB
U+38C3	NYBN
U+38C4	NESD
U+38C5	NMUA
U+38C6	NMBG
U+38C7	VNMB
U+38C8	VBVNB
U+38C9	MHHH
U+38CA	HEHHH
U+38CB	TTHHH
U+38CC	YRHHH
U+38CD	IRHHH
U+38CE	HAFHH
U+38CF	KJHHH
U+38D0	HEHHH
U+38D1	IBHHH
U+38D2	CAHHH
U+38D3	YDHHH
U+38D4	HOMN
U+38D5	HOK
U+38D6	HOKI
U+38D7	HOHS
U+38D8	HOPR
U+38D9	HOLW
U+38DA	HOBMR
U+38DB	HOOMR
U+38DC	HOMTN
U+38DD	HOIJ
U+38DE	HOCIU
U+38DF	HOGR
U+38E0	HOLHY
U+38E1	HOOL
U+38E2	HOCNH
U+38E3	HOKOO
U+38E4	HOII
U+38E5	HOOGI
U+38E6	HOHDV
U+38E7	HOVBU
U+38E8	HOVJR
U+38E9	HODD
U+38EA	HOBME
U+38EB	HOHJG
U+38EC	HORSJ
U+38ED	HOUCE
U+38EE	HOJBJ
U+38EF	HOSFB
U+38F0	HOHDP
U+38F1	HOQMC
U+38F2	HOURK
U+38F3	HOOTF
U+38F4	HOTMC
U+38F5	HOYGQ
U+38F6	HOYWM
U+38F7	HOJPN
U+38F8	HOTOM
U+38F9	HOIOP
U+38FA	XP
U+38FB	KP
U+38FC	PSHI
U+38FD	VP
U+38FE	PEI
U+38FF	PPI
U+3900	OVP
U+3901	MKP
U+3902	NHEP
U+3903	PYHS
U+3904	PJB
U+3905	MUP
U+3906	PHE
U+3907	PHK
U+3908	PP
U+3909	PMVH
U+390A	PKK
U+390B	PCSH
U+390C	PTM
U+390D	MSP
U+390E	KRP
U+390F	PHEY
U+3910	YRP
U+3911	PKR
U+3912	PKJ
U+3913	PDM
U+3914	PODI
U+3915	PUU
U+3916	PJMN
U+3917	QKP
U+3918	QNSM
U+3919	WSP
U+391A	PHON
U+391B	POHG
U+391C	PIHI
U+391D	PYIU
U+391E	PJHP
U+391F	TWP
U+3920	MNP
U+3921	PMNN
U+3922	PKB
U+3923	TTP
U+3924	PLWK
U+3925	PYVO
U+3926	PJLK
